time,.Header.seq,.Header.stamp.secs,.Header.stamp.nsecs,.Header.frame_id,.Latitude,.Longitude,.Altitude,.UTM_easting,.UTM_northing,.Fix_quality,.Zone,.Letter
2022/10/06/11:58:10.032516,0,57490,0,GPS1_Frame,42.328155517578125,-71.10193634033203,56.599998474121094,326816.34375,4688352.0,4,19,T
2022/10/06/11:58:11.036479,0,57491,0,GPS1_Frame,42.32815170288086,-71.10192108154297,56.599998474121094,326817.4375,4688351.5,4,19,T
2022/10/06/11:58:12.036776,0,57492,0,GPS1_Frame,42.328147888183594,-71.1019058227539,56.599998474121094,326818.5625,4688351.0,4,19,T
2022/10/06/11:58:13.036211,0,57493,0,GPS1_Frame,42.32814407348633,-71.10189056396484,56.599998474121094,326819.625,4688350.5,4,19,T
2022/10/06/11:58:14.036229,0,57494,0,GPS1_Frame,42.32814025878906,-71.10188293457031,56.5,326820.75,4688350.0,4,19,T
2022/10/06/11:58:15.044609,0,57495,0,GPS1_Frame,42.3281364440918,-71.10186767578125,56.5,326821.875,4688349.5,4,19,T
2022/10/06/11:58:16.039253,0,57496,0,GPS1_Frame,42.32813262939453,-71.10185241699219,56.5,326823.0,4688349.0,4,19,T
2022/10/06/11:58:17.040545,0,57497,0,GPS1_Frame,42.328128814697266,-71.10183715820312,56.400001525878906,326824.15625,4688348.5,4,19,T
2022/10/06/11:58:18.030993,0,57498,0,GPS1_Frame,42.328125,-71.1018295288086,56.400001525878906,326825.21875,4688348.0,4,19,T
2022/10/06/11:58:19.029978,0,57499,0,GPS1_Frame,42.328121185302734,-71.10181427001953,56.400001525878906,326826.28125,4688347.5,4,19,T
2022/10/06/11:58:20.048190,0,57500,0,GPS1_Frame,42.32811737060547,-71.10179901123047,56.29999923706055,326827.375,4688347.0,4,19,T
2022/10/06/11:58:21.037190,0,57501,0,GPS1_Frame,42.3281135559082,-71.1017837524414,56.29999923706055,326828.4375,4688346.5,4,19,T
2022/10/06/11:58:22.034292,0,57502,0,GPS1_Frame,42.32810974121094,-71.10177612304688,56.29999923706055,326829.5625,4688346.5,4,19,T
2022/10/06/11:58:23.037531,0,57503,0,GPS1_Frame,42.32810592651367,-71.10176086425781,56.29999923706055,326830.6875,4688346.0,4,19,T
2022/10/06/11:58:24.040140,0,57504,0,GPS1_Frame,42.328102111816406,-71.10174560546875,56.29999923706055,326831.8125,4688345.5,4,19,T
2022/10/06/11:58:25.052279,0,57505,0,GPS1_Frame,42.32809829711914,-71.10173034667969,56.20000076293945,326832.96875,4688345.0,4,19,T
2022/10/06/11:58:26.041137,0,57506,0,GPS1_Frame,42.328094482421875,-71.10171508789062,56.20000076293945,326834.09375,4688344.5,4,19,T
2022/10/06/11:58:27.031721,0,57507,0,GPS1_Frame,42.32809066772461,-71.10169982910156,56.099998474121094,326835.28125,4688344.0,4,19,T
