time,.Header.seq,.Header.stamp.secs,.Header.stamp.nsecs,.Header.frame_id,.Latitude,.Longitude,.Altitude,.UTM_easting,.UTM_northing,.Fix_quality,.Zone,.Letter
2022/10/06/14:58:48.594563,0,68329,0,GPS1_Frame,42.337345123291016,-71.08678436279297,14.399999618530273,328089.75,4689341.0,5,19,T
2022/10/06/14:58:49.592207,0,68330,0,GPS1_Frame,42.33734130859375,-71.0867919921875,14.300000190734863,328088.84375,4689340.5,5,19,T
2022/10/06/14:58:50.588876,0,68331,0,GPS1_Frame,42.33733367919922,-71.08680725097656,14.399999618530273,328087.90625,4689340.0,5,19,T
2022/10/06/14:58:51.596844,0,68332,0,GPS1_Frame,42.33732986450195,-71.0868148803711,14.300000190734863,328086.9375,4689339.5,5,19,T
2022/10/06/14:58:52.599829,0,68333,0,GPS1_Frame,42.33732223510742,-71.08683013916016,14.300000190734863,328086.0,4689339.0,5,19,T
2022/10/06/14:58:53.600576,0,68334,0,GPS1_Frame,42.337318420410156,-71.08683776855469,14.300000190734863,328085.0,4689338.5,5,19,T
2022/10/06/14:58:54.598945,0,68335,0,GPS1_Frame,42.33731460571289,-71.08685302734375,14.199999809265137,328084.0625,4689338.0,5,19,T
2022/10/06/14:58:55.610288,0,68336,0,GPS1_Frame,42.337310791015625,-71.08686065673828,14.199999809265137,328083.03125,4689337.5,5,19,T
2022/10/06/14:58:56.596507,0,68337,0,GPS1_Frame,42.337303161621094,-71.08687591552734,14.100000381469727,328082.0,4689337.0,5,19,T
2022/10/06/14:58:57.597138,0,68338,0,GPS1_Frame,42.33729934692383,-71.0868911743164,14.199999809265137,328080.9375,4689336.5,5,19,T
2022/10/06/14:58:58.599650,0,68339,0,GPS1_Frame,42.3372917175293,-71.08689880371094,14.100000381469727,328080.125,4689335.5,5,19,T
2022/10/06/14:58:59.593443,0,68340,0,GPS1_Frame,42.337284088134766,-71.08690643310547,14.199999809265137,328079.40625,4689335.0,5,19,T
2022/10/06/14:59:00.604484,0,68341,0,GPS1_Frame,42.337276458740234,-71.0869140625,14.199999809265137,328079.0625,4689334.0,5,19,T
2022/10/06/14:59:01.605133,0,68342,0,GPS1_Frame,42.33726501464844,-71.08690643310547,14.100000381469727,328079.1875,4689333.0,5,19,T
2022/10/06/14:59:02.603162,0,68343,0,GPS1_Frame,42.337257385253906,-71.08690643310547,14.100000381469727,328079.53125,4689331.5,5,19,T
2022/10/06/14:59:03.598366,0,68344,0,GPS1_Frame,42.337249755859375,-71.08689880371094,14.100000381469727,328080.0,4689330.5,5,19,T
2022/10/06/14:59:04.617997,0,68345,0,GPS1_Frame,42.33723831176758,-71.0868911743164,14.199999809265137,328080.46875,4689329.5,5,19,T
2022/10/06/14:59:05.602383,0,68346,0,GPS1_Frame,42.33723068237305,-71.08688354492188,14.199999809265137,328081.0625,4689329.0,5,19,T
2022/10/06/14:59:06.610967,0,68347,0,GPS1_Frame,42.33721923828125,-71.08688354492188,14.0,328081.5,4689327.5,4,19,T
2022/10/06/14:59:07.610955,0,68348,0,GPS1_Frame,42.33721160888672,-71.08687591552734,13.899999618530273,328082.0625,4689326.5,4,19,T
2022/10/06/14:59:08.600117,0,68349,0,GPS1_Frame,42.33720016479492,-71.08686828613281,13.899999618530273,328082.59375,4689325.5,4,19,T
2022/10/06/14:59:09.604646,0,68350,0,GPS1_Frame,42.337188720703125,-71.08686065673828,14.0,328083.09375,4689324.0,4,19,T
2022/10/06/14:59:10.609771,0,68351,0,GPS1_Frame,42.337181091308594,-71.08685302734375,14.100000381469727,328083.625,4689323.0,4,19,T
2022/10/06/14:59:11.613292,0,68352,0,GPS1_Frame,42.3371696472168,-71.08684539794922,14.100000381469727,328084.15625,4689322.0,4,19,T
2022/10/06/14:59:12.608589,0,68353,0,GPS1_Frame,42.337162017822266,-71.08683776855469,14.199999809265137,328084.78125,4689321.0,4,19,T
2022/10/06/14:59:13.609000,0,68354,0,GPS1_Frame,42.33715057373047,-71.08683013916016,14.199999809265137,328085.4375,4689320.0,4,19,T
2022/10/06/14:59:14.606584,0,68355,0,GPS1_Frame,42.33714294433594,-71.08682250976562,14.199999809265137,328086.09375,4689319.0,4,19,T
2022/10/06/14:59:15.607296,0,68356,0,GPS1_Frame,42.337135314941406,-71.0868148803711,14.199999809265137,328086.65625,4689318.0,4,19,T
2022/10/06/14:59:16.604506,0,68357,0,GPS1_Frame,42.337127685546875,-71.08680725097656,14.199999809265137,328087.28125,4689317.0,4,19,T
2022/10/06/14:59:17.601932,0,68358,0,GPS1_Frame,42.33711624145508,-71.08679962158203,14.199999809265137,328087.875,4689316.0,4,19,T
2022/10/06/14:59:18.606344,0,68359,0,GPS1_Frame,42.33710861206055,-71.0867919921875,14.300000190734863,328088.46875,4689315.0,4,19,T
2022/10/06/14:59:19.609597,0,68360,0,GPS1_Frame,42.33710479736328,-71.08678436279297,14.199999809265137,328089.3125,4689314.5,4,19,T
2022/10/06/14:59:20.606283,0,68361,0,GPS1_Frame,42.337100982666016,-71.0867691040039,14.199999809265137,328090.1875,4689314.0,4,19,T
2022/10/06/14:59:21.616101,0,68362,0,GPS1_Frame,42.337100982666016,-71.08676147460938,14.199999809265137,328090.84375,4689314.5,4,19,T
2022/10/06/14:59:22.602395,0,68363,0,GPS1_Frame,42.33710479736328,-71.08676147460938,14.199999809265137,328090.90625,4689314.5,4,19,T
2022/10/06/14:59:23.611412,0,68364,0,GPS1_Frame,42.33710479736328,-71.08676147460938,14.100000381469727,328091.0,4689315.0,4,19,T
2022/10/06/14:59:24.610896,0,68365,0,GPS1_Frame,42.33710861206055,-71.08676147460938,13.699999809265137,328090.8125,4689315.0,4,19,T
2022/10/06/14:59:25.613621,0,68366,0,GPS1_Frame,42.33710861206055,-71.08676147460938,13.600000381469727,328090.8125,4689315.0,4,19,T
2022/10/06/14:59:26.619110,0,68367,0,GPS1_Frame,42.33710861206055,-71.08676147460938,13.5,328090.875,4689315.0,2,19,T
2022/10/06/14:59:27.603257,0,68368,0,GPS1_Frame,42.33711242675781,-71.08676147460938,13.399999618530273,328091.0625,4689315.5,5,19,T
2022/10/06/14:59:28.601678,0,68369,0,GPS1_Frame,42.337120056152344,-71.08675384521484,13.699999809265137,328091.375,4689316.0,4,19,T
2022/10/06/14:59:29.620142,0,68370,0,GPS1_Frame,42.33712387084961,-71.08676147460938,13.600000381469727,328091.25,4689317.0,2,19,T
2022/10/06/14:59:30.618227,0,68371,0,GPS1_Frame,42.337127685546875,-71.08676147460938,13.800000190734863,328090.96875,4689317.0,5,19,T
2022/10/06/14:59:31.628308,0,68372,0,GPS1_Frame,42.337127685546875,-71.08676147460938,13.899999618530273,328090.90625,4689317.0,2,19,T
2022/10/06/14:59:32.617397,0,68373,0,GPS1_Frame,42.337120056152344,-71.08680725097656,8.899999618530273,328087.3125,4689316.5,2,19,T
2022/10/06/14:59:33.616019,0,68374,0,GPS1_Frame,42.337120056152344,-71.08677673339844,11.899999618530273,328089.71875,4689316.5,2,19,T
2022/10/06/14:59:34.631335,0,68375,0,GPS1_Frame,42.33711242675781,-71.08678436279297,11.699999809265137,328089.375,4689315.5,5,19,T
2022/10/06/14:59:35.611180,0,68376,0,GPS1_Frame,42.33711624145508,-71.0867919921875,11.199999809265137,328088.65625,4689316.0,2,19,T
2022/10/06/14:59:36.628693,0,68377,0,GPS1_Frame,42.337127685546875,-71.08679962158203,11.800000190734863,328087.8125,4689317.0,5,19,T
2022/10/06/14:59:37.609601,0,68378,0,GPS1_Frame,42.33713912963867,-71.08680725097656,12.399999618530273,328087.03125,4689318.5,2,19,T
2022/10/06/14:59:38.610038,0,68379,0,GPS1_Frame,42.33715057373047,-71.0868148803711,12.399999618530273,328086.9375,4689319.5,5,19,T
